Dataset Name,DOAO PR-Curve,DOAO STD,AdaBoost PR-Curve,AdaBoost STD
credit-approval.csv,0.893,0.086,0.893,0.067
statlog-australian-credit.csv,0.698,0.049,0.769,0.043
wine-quality-white.csv,0.83,0.069,0.852,0.099
blood.csv,0.493,0.138,0.521,0.083
baseball.csv,0.798,0.096,0.756,0.096
ilpd-indian-liver.csv,0.461,0.109,0.49,0.136
lowbwt.csv,0.864,0.138,0.838,0.209
schlvote.csv,0.875,0.171,0.793,0.243
breast-cancer-wisc.csv,0.984,0.019,0.985,0.016
haberman-survival.csv,0.457,0.21,0.381,0.162
annealing.csv,0.988,0.011,0.99,0.012
wine.csv,0.999,0.003,0.985,0.024
elusage.csv,0.959,0.076,0.939,0.076
mammographic.csv,0.863,0.046,0.871,0.037
synthetic-control.csv,1.0,0.001,0.99,0.007
statlog-vehicle.csv,0.971,0.019,0.933,0.02
breast-cancer-wisc-diag.csv,0.993,0.009,0.989,0.008
oocytes_merluccius_states_2f.csv,0.997,0.003,0.975,0.026
zoo.csv,0.99,0.019,0.979,0.045
visualizing_livestock.csv,0.961,0.033,0.897,0.087
teachingAssistant.csv,0.761,0.135,0.853,0.145
solar-flare.csv,0.062,0.099,0.019,0.012
schizo.csv,0.873,0.076,0.699,0.129
wine-quality-red.csv,0.786,0.072,0.808,0.071
plasma_retinol.csv,0.599,0.11,0.685,0.099
congressional-voting.csv,0.475,0.125,0.512,0.136
flags.csv,0.767,0.075,0.855,0.066
kc3.csv,0.332,0.219,0.417,0.239
led-display.csv,0.97,0.013,0.972,0.014
newton_hema.csv,0.852,0.109,0.723,0.254
low-res-spect.csv,0.953,0.044,0.947,0.04
waveform-noise.csv,0.976,0.025,0.981,0.004
chatfield_4.csv,0.979,0.017,0.968,0.023
squash-stored.csv,0.795,0.289,0.806,0.216
chess-krvkp.csv,0.999,0.002,0.998,0.003
tic-tac-toe.csv,1.0,0.0,1.0,0.0
pittsburg-bridges-TYPE.csv,0.829,0.108,0.801,0.093
titanic.csv,0.642,0.069,0.676,0.081
ozone.csv,0.287,0.181,0.249,0.165
oocytes_trisopterus_states_5b.csv,0.976,0.045,0.91,0.1
ar4.csv,0.598,0.325,0.708,0.237
monks-3.csv,0.99,0.018,0.994,0.012
veteran.csv,0.873,0.062,0.852,0.057
pittsburg-bridges-T-OR-D_R.csv,0.521,0.384,0.653,0.398
audiology-std.csv,0.923,0.05,0.931,0.024
pittsburg-bridges-SPAN.csv,0.802,0.153,0.746,0.125
vertebral-column-2clases.csv,0.841,0.103,0.744,0.172
heart-hungarian.csv,0.859,0.099,0.827,0.106
analcatdata_lawsuit.csv,0.86,0.238,0.835,0.31
molec-biol-promoter.csv,0.919,0.091,0.933,0.118
braziltourism.csv,0.503,0.182,0.474,0.137
breast-cancer-wisc-prog.csv,0.53,0.135,0.512,0.175
abalon.csv,0.848,0.019,0.834,0.012
meta.csv,0.987,0.009,0.97,0.021
hill-valley.csv,0.658,0.041,0.561,0.058
sleuth_case2002.csv,0.727,0.135,0.736,0.175
molec-biol-splice.csv,0.985,0.005,0.997,0.001
post-operative.csv,0.323,0.205,0.298,0.222
analcatdata_boxing1.csv,0.903,0.106,0.85,0.056
transplant.csv,0.996,0.009,0.999,0.003
teaching.csv,0.759,0.107,0.805,0.158
monks-1.csv,0.971,0.013,0.949,0.068
statlog-german-credit.csv,0.598,0.113,0.564,0.095
heart-va.csv,0.649,0.141,0.667,0.139
cardiotocography-3clases.csv,0.936,0.023,0.861,0.07
glass.csv,0.904,0.073,0.911,0.079
ionosphere.csv,0.99,0.015,0.973,0.048
balance-scale.csv,1.0,0.0,0.946,0.054
pittsburg-bridges-REL-L.csv,0.824,0.174,0.803,0.181
semeion.csv,0.998,0.001,0.996,0.002
dermatology.csv,0.997,0.003,0.984,0.011
spect.csv,0.733,0.078,0.732,0.11
libras.csv,0.988,0.01,0.951,0.012
heart-switzerland.csv,0.599,0.175,0.653,0.193
waveform.csv,0.984,0.006,0.982,0.004
cloud.csv,0.235,0.073,0.316,0.207
lung-cancer.csv,0.797,0.188,0.786,0.265
seeds.csv,0.997,0.005,0.984,0.019
ecoli.csv,0.94,0.061,0.902,0.072
diabetes.csv,0.712,0.111,0.709,0.107
acute-nephritis.csv,1.0,0.0,1.0,0.0
oocytes_trisopterus_nucleus_2f.csv,0.938,0.026,0.912,0.042
monks-2.csv,0.893,0.043,0.684,0.096
analcatdata_broadwaymult.csv,0.822,0.071,0.728,0.071
breast-cancer.csv,0.526,0.14,0.515,0.13
squash-unstored.csv,0.829,0.172,0.869,0.194
horse-colic.csv,0.804,0.086,0.821,0.087
pittsburg-bridges-MATERIAL.csv,0.894,0.134,0.891,0.145
lupus.csv,0.794,0.264,0.78,0.119
conn-bench-sonar-mines-rocks.csv,0.954,0.048,0.803,0.11
contrac.csv,0.688,0.052,0.693,0.065
statlog-image.csv,0.998,0.002,0.998,0.001
heart-cleveland.csv,0.628,0.09,0.588,0.067
kidney.csv,0.853,0.133,0.867,0.072
plant-shape.csv,0.993,0.001,0.973,0.004
breast-tissue.csv,0.934,0.055,0.93,0.039
acute-inflammation.csv,1.0,0.0,0.993,0.023
arrhythmia.csv,0.873,0.042,0.82,0.047
socmob.csv,0.981,0.012,0.952,0.039
vote.csv,0.989,0.009,0.981,0.019
fertility.csv,0.525,0.385,0.466,0.38
no2.csv,0.66,0.125,0.588,0.073
white-clover.csv,0.762,0.253,0.772,0.162
bank.csv,0.484,0.07,0.458,0.087
pima.csv,0.714,0.11,0.701,0.09
prnn_synth.csv,0.941,0.036,0.929,0.053
energy-y1.csv,0.994,0.005,0.997,0.003
hayes-roth.csv,0.915,0.104,0.945,0.056
musk-1.csv,0.98,0.027,0.984,0.02
iris.csv,1.0,0.0,0.99,0.022
conn-bench-vowel-deterding.csv,1.0,0.001,0.987,0.005
labor.csv,0.985,0.047,0.966,0.109
lymphography.csv,0.931,0.055,0.927,0.072
analcatdata_germangss.csv,0.572,0.043,0.558,0.049
triazines.csv,0.802,0.125,0.795,0.09
chscase_vine1.csv,0.779,0.288,0.824,0.187
vertebral-column-3clases.csv,0.972,0.014,0.953,0.028
statlog-heart_.csv,0.897,0.05,0.896,0.046
diggle_table_a2.csv,1.0,0.0,0.996,0.01
lenses.csv,0.85,0.335,0.9,0.137
pm10.csv,0.622,0.114,0.618,0.108
plant-margin.csv,0.997,0.0,0.969,0.001
image-segmentation.csv,0.996,0.002,0.996,0.003
spambase.csv,0.964,0.018,0.972,0.013
planning.csv,0.318,0.125,0.436,0.191
tae.csv,0.694,0.223,0.631,0.287
rmftsa_sleepdata.csv,0.798,0.05,0.779,0.05
