Dataset Name,DOAO Training Time,DOAO STD,AdaBoost Training Time,AdaBoost STD
credit-approval.csv,7.947,0.228,1.859,0.106
statlog-australian-credit.csv,6.931,0.34,1.921,0.103
wine-quality-white.csv,331.73,10.864,8.209,0.951
blood.csv,8.367,0.418,2.04,0.093
baseball.csv,23.617,0.32,2.787,0.079
ilpd-indian-liver.csv,6.216,0.199,1.984,0.091
lowbwt.csv,2.611,0.138,1.332,0.167
schlvote.csv,2.058,0.084,1.091,0.116
breast-cancer-wisc.csv,6.322,0.093,1.798,0.076
haberman-survival.csv,2.78,0.222,1.817,0.091
annealing.csv,30.731,3.469,2.281,0.073
wine.csv,2.818,1.285,1.305,0.056
elusage.csv,2.102,0.1,1.328,0.232
mammographic.csv,12.242,1.96,2.173,0.057
synthetic-control.csv,5.034,0.919,3.172,0.166
statlog-vehicle.csv,28.853,0.312,2.569,0.155
breast-cancer-wisc-diag.csv,5.45,0.071,2.123,0.067
oocytes_merluccius_states_2f.csv,17.377,0.807,3.47,0.12
zoo.csv,5.249,1.636,1.39,0.065
visualizing_livestock.csv,2.521,0.14,1.484,0.07
teachingAssistant.csv,6.489,0.157,1.726,0.066
solar-flare.csv,12.207,2.367,1.786,0.092
schizo.csv,2.448,0.127,1.76,0.122
wine-quality-red.csv,73.945,1.059,3.382,0.304
plasma_retinol.csv,3.274,0.196,1.891,0.105
congressional-voting.csv,5.054,0.165,1.945,0.078
flags.csv,63.124,1.403,1.765,0.063
kc3.csv,5.197,0.202,2.079,0.129
led-display.csv,109.162,2.296,2.479,0.063
newton_hema.csv,2.343,0.077,1.532,0.1
low-res-spect.csv,54.188,9.143,4.48,0.386
waveform-noise.csv,208.255,6.217,14.34,1.561
chatfield_4.csv,2.68,0.091,1.565,0.076
squash-stored.csv,2.163,0.094,1.02,0.085
chess-krvkp.csv,71.443,2.52,2.92,0.088
tic-tac-toe.csv,2.12,4.153,2.031,0.081
pittsburg-bridges-TYPE.csv,29.072,2.086,1.774,0.125
titanic.csv,22.346,1.089,2.627,0.081
ozone.csv,52.356,3.23,4.978,0.305
oocytes_trisopterus_states_5b.csv,17.573,2.326,3.585,0.361
